,region,market,funnel,account_type,ds,X,Month,Year,US_Desktop_-_Apr_2024,US_Desktop_-_Aug_2024,US_Desktop_-_Dec_2024,US_Desktop_-_Jul_2024,US_Desktop_-_Jun_2024,US_Desktop_-_May_2024,US_Desktop_-_Nov_2024,US_Desktop_-_Oct_2024,US_Desktop_-_Sep_2024,US_Mobile_&_Tablet_-_Apr_2024,US_Mobile_&_Tablet_-_Aug_2024,US_Mobile_&_Tablet_-_Dec_2024,US_Mobile_&_Tablet_-_Jul_2024,US_Mobile_&_Tablet_-_Jun_2024,US_Mobile_&_Tablet_-_May_2024,US_Mobile_&_Tablet_-_Nov_2024,US_Mobile_&_Tablet_-_Oct_2024,US_Mobile_&_Tablet_-_Sep_2024,Weekend,AOV,ROAS
194,US,US,-,Desktop,2024-11-05,76123.13,Nov,2024,0.0,0.0,0.0,0.0,0.0,0.0,76123.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,34.32,29.5
195,US,US,-,Desktop,2024-11-06,74495.86,Nov,2024,0.0,0.0,0.0,0.0,0.0,0.0,74495.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,34.32,29.5
196,US,US,-,Desktop,2024-11-07,61451.28,Nov,2024,0.0,0.0,0.0,0.0,0.0,0.0,61451.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,34.32,29.5
197,US,US,-,Desktop,2024-11-08,49372.89000000001,Nov,2024,0.0,0.0,0.0,0.0,0.0,0.0,49372.89000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,34.32,29.5
198,US,US,-,Desktop,2024-11-09,10767.050000000001,Nov,2024,0.0,0.0,0.0,0.0,0.0,0.0,10767.050000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,34.32,29.5
199,US,US,-,Desktop,2024-11-10,9607.350000000002,Nov,2024,0.0,0.0,0.0,0.0,0.0,0.0,9607.350000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,34.32,29.5
200,US,US,-,Desktop,2024-11-11,59753.549999999996,Nov,2024,0.0,0.0,0.0,0.0,0.0,0.0,59753.549999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,34.32,29.5
201,US,US,-,Desktop,2024-11-12,67594.63000000002,Nov,2024,0.0,0.0,0.0,0.0,0.0,0.0,67594.63000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,34.32,29.5
202,US,US,-,Desktop,2024-11-13,66367.39,Nov,2024,0.0,0.0,0.0,0.0,0.0,0.0,66367.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,34.32,29.5
203,US,US,-,Desktop,2024-11-14,58590.689999999995,Nov,2024,0.0,0.0,0.0,0.0,0.0,0.0,58590.689999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,34.32,29.5
204,US,US,-,Desktop,2024-11-15,54228.57000000001,Nov,2024,0.0,0.0,0.0,0.0,0.0,0.0,54228.57000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,34.32,29.5
205,US,US,-,Desktop,2024-11-16,12728.39,Nov,2024,0.0,0.0,0.0,0.0,0.0,0.0,12728.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,34.32,29.5
206,US,US,-,Desktop,2024-11-17,12329.18,Nov,2024,0.0,0.0,0.0,0.0,0.0,0.0,12329.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,34.32,29.5
