,market,account_type,funnel,periods_for_acc_cal,changepoint_prior_scale,seasonality_prior_scale,holidays_prior_scale,seasonality_mode,input_mode,weekday_or_weekend,include_holiday,covid_year_exclude,covid_year_dummy,anomaly_2021,generic_cost_split,competitor_cost_split,new_confirmed,dec_2022,power,growth,MAPE,period_AE
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,multiplicative,additive,na,False,na,na,additive,additive,na,na,na,linear,56.44,49.07
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,multiplicative,additive,na,False,na,na,additive,na,na,na,na,logistic,90.31,54.83
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,multiplicative,additive,na,False,na,na,additive,additive,na,na,na,logistic,110.75,67.36999999999999
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,multiplicative,additive,na,False,na,na,additive,multiplicative,na,na,na,linear,27.26,4.52
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,multiplicative,additive,na,False,na,na,multiplicative,na,na,na,na,linear,52.3,44.690000000000005
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,multiplicative,additive,na,False,na,na,multiplicative,additive,na,na,na,linear,21.95,18.54
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,multiplicative,additive,na,False,na,na,additive,multiplicative,na,na,na,logistic,103.64,63.239999999999995
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,multiplicative,additive,na,False,na,na,multiplicative,na,na,na,na,logistic,97.87,59.78
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,multiplicative,additive,na,False,na,na,multiplicative,multiplicative,na,na,na,linear,50.74,43.230000000000004
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,multiplicative,additive,na,False,na,na,multiplicative,additive,na,na,na,logistic,103.61,63.21
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,multiplicative,additive,default,False,na,na,na,na,na,na,na,linear,37.63,27.3
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,multiplicative,additive,na,False,na,na,multiplicative,multiplicative,na,na,na,logistic,98.16,60.17
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,multiplicative,additive,default,False,na,na,na,additive,na,na,na,linear,58.24,50.88
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,multiplicative,additive,default,False,na,na,na,na,na,na,na,logistic,95.29,57.43000000000001
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,multiplicative,additive,default,False,na,na,na,multiplicative,na,na,na,linear,51.85,44.690000000000005
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,multiplicative,additive,default,False,na,na,na,additive,na,na,na,logistic,86.39,50.78
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,multiplicative,additive,default,False,na,na,additive,na,na,na,na,linear,55.45,48.15
