,market,account_type,funnel,periods_for_acc_cal,changepoint_prior_scale,seasonality_prior_scale,holidays_prior_scale,seasonality_mode,input_mode,weekday_or_weekend,include_holiday,covid_year_exclude,covid_year_dummy,anomaly_2021,generic_cost_split,competitor_cost_split,new_confirmed,nov_dec_2018,jul_dec_2019,power,growth,MAPE,period_AE
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,multiplicative,na,default,False,na,na,additive,na,na,na,na,na,logistic,98.1,28.51
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,multiplicative,na,default,False,na,na,additive,additive,na,na,na,na,linear,51.75,61.96
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,multiplicative,na,default,False,na,na,additive,multiplicative,na,na,na,na,linear,62.08,69.69
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,multiplicative,na,default,False,na,na,additive,additive,na,na,na,na,logistic,91.92,21.07
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,multiplicative,na,default,False,na,na,multiplicative,na,na,na,na,na,linear,57.28,66.41
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,multiplicative,na,default,False,na,na,additive,multiplicative,na,na,na,na,logistic,90.53,21.029999999999998
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,multiplicative,na,default,False,na,na,multiplicative,additive,na,na,na,na,linear,62.2,69.73
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,multiplicative,na,default,False,na,na,multiplicative,na,na,na,na,na,logistic,121.2,7.31
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,multiplicative,na,default,False,na,na,multiplicative,additive,na,na,na,na,logistic,96.77,27.57
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,multiplicative,na,default,False,na,na,multiplicative,multiplicative,na,na,na,na,linear,56.2,65.44
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,multiplicative,additive,na,False,na,na,na,na,na,na,na,na,linear,57.89,66.73
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,multiplicative,na,default,False,na,na,multiplicative,multiplicative,na,na,na,na,logistic,122.06,10.73
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,multiplicative,additive,na,False,na,na,na,additive,na,na,na,na,linear,46.98,55.17999999999999
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,multiplicative,additive,na,False,na,na,na,na,na,na,na,na,logistic,111.81,18.509999999999998
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,multiplicative,additive,na,False,na,na,na,multiplicative,na,na,na,na,linear,48.91,58.74
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,multiplicative,additive,na,False,na,na,na,additive,na,na,na,na,logistic,100.71,33.48
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,multiplicative,additive,na,False,na,na,additive,na,na,na,na,na,linear,46.66,54.669999999999995
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,multiplicative,additive,na,False,na,na,na,multiplicative,na,na,na,na,logistic,123.22,4.3999999999999995
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,multiplicative,additive,na,False,na,na,additive,na,na,na,na,na,logistic,103.03,36.49
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,multiplicative,additive,na,False,na,na,additive,additive,na,na,na,na,linear,46.74,54.84
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,multiplicative,additive,na,False,na,na,additive,additive,na,na,na,na,logistic,100.79,30.070000000000004
