ds,region,market,account_type,funnel,Identifier,X,new_funnel,generic_cost,competitor_cost,generic_cost_split,competitor_cost_split,Weekend,Month,Year,Mexico_-_Brand_Apr_2024,Mexico_-_Brand_Aug_2024,Mexico_-_Brand_Dec_2024,Mexico_-_Brand_Jul_2024,Mexico_-_Brand_Jun_2024,Mexico_-_Brand_May_2024,Mexico_-_Brand_Nov_2024,Mexico_-_Brand_Oct_2024,Mexico_-_Brand_Sep_2024,Mexico_-_Non_Brand_Apr_2024,Mexico_-_Non_Brand_Aug_2024,Mexico_-_Non_Brand_Dec_2024,Mexico_-_Non_Brand_Jul_2024,Mexico_-_Non_Brand_Jun_2024,Mexico_-_Non_Brand_May_2024,Mexico_-_Non_Brand_Nov_2024,Mexico_-_Non_Brand_Oct_2024,Mexico_-_Non_Brand_Sep_2024,AOV,ROAS
2024-05-31,LATAM,Mexico,-,Non_Brand,L,401.48,0,401.48,0.0,1.0,0.0,1,May,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,401.48,0.0,0.0,0.0,69.4,3.79
2024-06-01,LATAM,Mexico,-,Brand,L,113.24000000000001,0,0.0,0.0,0.5,0.5,1,Jun,2024,0.0,0.0,0.0,0.0,113.24000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.9,20.69
2024-06-01,LATAM,Mexico,-,Non_Brand,L,108.54,0,108.54,0.0,1.0,0.0,1,Jun,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.54,0.0,0.0,0.0,0.0,69.4,3.79
2024-06-02,LATAM,Mexico,-,Brand,L,42.660000000000004,0,0.0,0.0,0.5,0.5,1,Jun,2024,0.0,0.0,0.0,0.0,42.660000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.9,20.69
2024-06-02,LATAM,Mexico,-,Non_Brand,L,118.06,0,118.06,0.0,1.0,0.0,1,Jun,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.06,0.0,0.0,0.0,0.0,69.4,3.79
2024-06-03,LATAM,Mexico,-,Brand,L,800.64,0,0.0,0.0,0.5,0.5,0,Jun,2024,0.0,0.0,0.0,0.0,800.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.9,20.69
2024-06-03,LATAM,Mexico,-,Non_Brand,L,456.53999999999996,0,456.53999999999996,0.0,1.0,0.0,0,Jun,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,456.53999999999996,0.0,0.0,0.0,0.0,69.4,3.79
2024-06-04,LATAM,Mexico,-,Brand,L,897.1000000000001,0,0.0,0.0,0.5,0.5,0,Jun,2024,0.0,0.0,0.0,0.0,897.1000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.9,20.69
2024-06-04,LATAM,Mexico,-,Non_Brand,L,422.65999999999997,0,422.65999999999997,0.0,1.0,0.0,0,Jun,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,422.65999999999997,0.0,0.0,0.0,0.0,69.4,3.79
2024-06-05,LATAM,Mexico,-,Brand,L,836.8399999999999,0,0.0,0.0,0.5,0.5,1,Jun,2024,0.0,0.0,0.0,0.0,836.8399999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.9,20.69
