region,market,account_type,funnel,ds,X,y,anomaly_2021,covid_year_dummy,weekday_or_weekend,Nov_Dec_2018,Jul_Dec_2019,Month of Ds,AOV,ROAS
LATAM,Mexico,-,Brand,2019-02-13,4.79,14.0,0,0,0,0,0,February,60.9,20.69
LATAM,Mexico,-,Brand,2019-02-14,4.449999999999999,3.0,0,0,0,0,0,February,60.9,20.69
LATAM,Mexico,-,Brand,2019-02-15,3.98,6.0,0,0,0,0,0,February,60.9,20.69
LATAM,Mexico,-,Brand,2019-02-16,0.0,2.0,0,0,1,0,0,February,60.9,20.69
LATAM,Mexico,-,Brand,2019-02-18,5.04,4.0,0,0,0,0,0,February,60.9,20.69
LATAM,Mexico,-,Brand,2019-02-19,5.220000000000001,4.0,0,0,0,0,0,February,60.9,20.69
LATAM,Mexico,-,Brand,2019-02-20,5.26,4.0,0,0,0,0,0,February,60.9,20.69
LATAM,Mexico,-,Brand,2019-02-21,4.17,9.0,0,0,0,0,0,February,60.9,20.69
LATAM,Mexico,-,Brand,2019-02-22,2.36,8.0,0,0,0,0,0,February,60.9,20.69
LATAM,Mexico,-,Brand,2019-02-23,0.0,2.0,0,0,1,0,0,February,60.9,20.69
LATAM,Mexico,-,Brand,2019-02-24,0.0,0.0,0,0,1,0,0,February,60.9,20.69
LATAM,Mexico,-,Brand,2019-02-25,5.710000000000001,5.0,0,0,0,0,0,February,60.9,20.69
LATAM,Mexico,-,Brand,2019-02-26,4.2,7.0,0,0,0,0,0,February,60.9,20.69
LATAM,Mexico,-,Brand,2019-02-27,4.85,6.0,0,0,0,0,0,February,60.9,20.69
LATAM,Mexico,-,Brand,2019-02-28,3.3200000000000003,14.0,0,0,0,0,0,February,60.9,20.69
LATAM,Mexico,-,Brand,2019-03-01,2.4699999999999998,10.0,0,0,0,0,0,March,60.9,20.69
LATAM,Mexico,-,Brand,2019-03-02,0.01,1.0,0,0,1,0,0,March,60.9,20.69
LATAM,Mexico,-,Brand,2019-03-03,0.0,0.0,0,0,1,0,0,March,60.9,20.69
LATAM,Mexico,-,Brand,2019-03-04,2.45,14.0,0,0,0,0,0,March,60.9,20.69
LATAM,Mexico,-,Brand,2019-03-05,3.43,4.0,0,0,0,0,0,March,60.9,20.69
LATAM,Mexico,-,Brand,2019-03-06,4.0200000000000005,3.0,0,0,0,0,0,March,60.9,20.69
LATAM,Mexico,-,Brand,2019-03-07,3.5400000000000005,9.0,0,0,0,0,0,March,60.9,20.69
LATAM,Mexico,-,Brand,2019-03-08,3.56,1.0,0,0,0,0,0,March,60.9,20.69
LATAM,Mexico,-,Brand,2019-03-09,0.04,0.0,0,0,1,0,0,March,60.9,20.69
LATAM,Mexico,-,Brand,2019-03-10,0.0,0.0,0,0,1,0,0,March,60.9,20.69
LATAM,Mexico,-,Brand,2019-03-11,5.67,0.0,0,0,0,0,0,March,60.9,20.69
LATAM,Mexico,-,Brand,2019-03-12,4.680000000000001,0.0,0,0,0,0,0,March,60.9,20.69
LATAM,Mexico,-,Brand,2019-03-13,4.529999999999999,7.0,0,0,0,0,0,March,60.9,20.69
LATAM,Mexico,-,Brand,2019-03-14,3.92,1.0,0,0,0,0,0,March,60.9,20.69
LATAM,Mexico,-,Brand,2019-03-15,3.44,0.0,0,0,0,0,0,March,60.9,20.69
LATAM,Mexico,-,Brand,2019-03-16,0.02,0.0,0,0,1,0,0,March,60.9,20.69
LATAM,Mexico,-,Brand,2019-03-18,0.76,0.0,0,0,0,0,0,March,60.9,20.69
LATAM,Mexico,-,Brand,2019-03-19,4.25,0.0,0,0,0,0,0,March,60.9,20.69
LATAM,Mexico,-,Brand,2019-03-20,4.55,6.0,0,0,0,0,0,March,60.9,20.69
LATAM,Mexico,-,Brand,2019-03-21,3.9699999999999998,1.0,0,0,0,0,0,March,60.9,20.69
LATAM,Mexico,-,Brand,2019-03-22,3.54,1.0,0,0,0,0,0,March,60.9,20.69
LATAM,Mexico,-,Brand,2019-03-23,0.0,0.0,0,0,1,0,0,March,60.9,20.69
LATAM,Mexico,-,Brand,2019-03-25,3.45,1.0,0,0,0,0,0,March,60.9,20.69
LATAM,Mexico,-,Brand,2019-03-26,3.16,6.0,0,0,0,0,0,March,60.9,20.69
LATAM,Mexico,-,Brand,2019-03-27,3.83,1.0,0,0,0,0,0,March,60.9,20.69
LATAM,Mexico,-,Brand,2019-03-28,2.57,7.0,0,0,0,0,0,March,60.9,20.69
LATAM,Mexico,-,Brand,2019-03-29,2.18,2.0,0,0,0,0,0,March,60.9,20.69
LATAM,Mexico,-,Brand,2019-03-30,0.02,1.0,0,0,1,0,0,March,60.9,20.69
LATAM,Mexico,-,Brand,2019-04-01,3.2800000000000002,3.0,0,0,0,0,0,April,60.9,20.69
LATAM,Mexico,-,Brand,2019-04-02,2.9399999999999995,9.0,0,0,0,0,0,April,60.9,20.69
LATAM,Mexico,-,Brand,2019-04-03,3.46,0.0,0,0,0,0,0,April,60.9,20.69
LATAM,Mexico,-,Brand,2019-04-04,3.6899999999999995,0.0,0,0,0,0,0,April,60.9,20.69
LATAM,Mexico,-,Brand,2019-04-05,3.06,0.0,0,0,0,0,0,April,60.9,20.69
LATAM,Mexico,-,Brand,2019-04-06,0.0,0.0,0,0,1,0,0,April,60.9,20.69
LATAM,Mexico,-,Brand,2019-04-08,3.51,1.0,0,0,0,0,0,April,60.9,20.69
LATAM,Mexico,-,Brand,2019-04-09,3.11,1.0,0,0,0,0,0,April,60.9,20.69
LATAM,Mexico,-,Brand,2019-04-10,2.65,5.0,0,0,0,0,0,April,60.9,20.69
LATAM,Mexico,-,Brand,2019-04-11,3.35,2.0,0,0,0,0,0,April,60.9,20.69
LATAM,Mexico,-,Brand,2019-04-12,2.36,1.0,0,0,0,0,0,April,60.9,20.69
LATAM,Mexico,-,Brand,2019-04-13,0.02,0.0,0,0,1,0,0,April,60.9,20.69
LATAM,Mexico,-,Brand,2019-04-15,2.44,0.0,0,0,0,0,0,April,60.9,20.69
LATAM,Mexico,-,Brand,2019-04-16,1.94,4.0,0,0,0,0,0,April,60.9,20.69
LATAM,Mexico,-,Brand,2019-04-17,2.89,9.0,0,0,0,0,0,April,60.9,20.69
LATAM,Mexico,-,Brand,2019-04-18,0.98,0.0,0,0,0,0,0,April,60.9,20.69
LATAM,Mexico,-,Brand,2019-04-19,0.22999999999999998,0.0,0,0,0,0,0,April,60.9,20.69
LATAM,Mexico,-,Brand,2019-04-20,0.0,0.0,0,0,1,0,0,April,60.9,20.69
