,ds,region,market,account_type,funnel,Identifier,X,y,anomaly_2021,covid_year_dummy,Covid_Year_Dummy,weekday_or_weekend,Nov_Dec_2018,Jul_Dec_2019,Month of Ds,new_funnel,generic_cost,competitor_cost,generic_cost_split,competitor_cost_split,Weekend,new_confirmed,floor,AOV,ROAS,cap
941,2020-03-08,LATAM,Mexico,-,Brand,L,6.12,1.0,0.0,0.0,1.0,1.0,0.0,0.0,March,0,0.0,0.0,0.5,0.5,1,0,0,60.9,20.69,2.0791921182266013
942,2020-03-09,LATAM,Mexico,-,Brand,L,362.02,78.0,0.0,0.0,2.0,0.0,0.0,0.0,MarchMarch,0,0.0,0.0,0.5,0.5,0,0,0,60.9,20.69,122.9916880131363
943,2020-03-10,LATAM,Mexico,-,Brand,L,366.22,124.0,0.0,0.0,2.0,0.0,0.0,0.0,MarchMarch,0,0.0,0.0,0.5,0.5,0,0,0,60.9,20.69,124.41858456486045
944,2020-03-11,LATAM,Mexico,-,Brand,L,251.74,105.0,0.0,0.0,2.0,0.0,0.0,0.0,MarchMarch,0,0.0,0.0,0.5,0.5,0,0,0,60.9,20.69,85.52546141215107
945,2020-03-12,LATAM,Mexico,-,Brand,L,263.51000000000005,114.0,0.0,0.0,2.0,0.0,0.0,0.0,MarchMarch,0,0.0,0.0,0.5,0.5,0,0,0,60.9,20.69,89.52416912972087
946,2020-03-13,LATAM,Mexico,-,Brand,L,290.05,92.0,0.0,0.0,2.0,0.0,0.0,0.0,MarchMarch,0,0.0,0.0,0.5,0.5,0,0,0,60.9,20.69,98.54079638752054
947,2020-03-14,LATAM,Mexico,-,Brand,L,44.93,7.0,0.0,0.0,2.0,2.0,0.0,0.0,MarchMarch,0,0.0,0.0,0.5,0.5,1,0,0,60.9,20.69,15.264395730706077
948,2020-03-15,LATAM,Mexico,-,Brand,L,36.92,0.0,0.0,0.0,1.0,1.0,0.0,0.0,March,0,0.0,0.0,0.5,0.5,1,0,0,60.9,20.69,12.543100164203613
949,2020-03-16,LATAM,Mexico,-,Brand,L,194.37,9.0,0.0,0.0,2.0,0.0,0.0,0.0,MarchMarch,0,0.0,0.0,0.5,0.5,0,0,0,60.9,20.69,66.0347339901478
950,2020-03-17,LATAM,Mexico,-,Brand,L,416.36,111.0,0.0,0.0,2.0,0.0,0.0,0.0,MarchMarch,0,0.0,0.0,0.5,0.5,0,0,0,60.9,20.69,141.45301149425288
951,2020-03-18,LATAM,Mexico,-,Brand,L,365.3099999999999,76.0,0.0,0.0,2.0,0.0,0.0,0.0,MarchMarch,0,0.0,0.0,0.5,0.5,0,0,0,60.9,20.69,124.10942364532016
952,2020-03-19,LATAM,Mexico,-,Brand,L,378.30999999999995,99.0,0.0,0.0,2.0,0.0,0.0,0.0,MarchMarch,0,0.0,0.0,0.5,0.5,0,0,0,60.9,20.69,128.5260082101806
953,2020-03-20,LATAM,Mexico,-,Brand,L,332.76,91.0,0.0,0.0,2.0,0.0,0.0,0.0,MarchMarch,0,0.0,0.0,0.5,0.5,0,0,0,60.9,20.69,113.05097536945813
954,2020-03-21,LATAM,Mexico,-,Brand,L,71.6,5.0,0.0,0.0,2.0,2.0,0.0,0.0,MarchMarch,0,0.0,0.0,0.5,0.5,1,0,0,60.9,20.69,24.325188834154353
955,2020-03-22,LATAM,Mexico,-,Brand,L,38.88999999999999,1.0,0.0,0.0,1.0,1.0,0.0,0.0,March,0,0.0,0.0,0.5,0.5,1,0,0,60.9,20.69,13.212382594417075
956,2020-03-23,LATAM,Mexico,-,Brand,L,333.54999999999995,70.0,0.0,0.0,2.0,0.0,0.0,0.0,MarchMarch,0,0.0,0.0,0.5,0.5,0,0,0,60.9,20.69,113.31936781609195
957,2020-03-24,LATAM,Mexico,-,Brand,L,235.89000000000001,56.0,0.0,0.0,2.0,0.0,0.0,0.0,MarchMarch,0,0.0,0.0,0.5,0.5,0,0,0,60.9,20.69,80.14062561576355
958,2020-03-25,LATAM,Mexico,-,Brand,L,280.57000000000005,86.0,0.0,0.0,2.0,0.0,0.0,0.0,MarchMarch,0,0.0,0.0,0.5,0.5,0,0,0,60.9,20.69,95.32008702791464
959,2020-03-26,LATAM,Mexico,-,Brand,L,320.2,107.0,0.0,0.0,2.0,0.0,0.0,0.0,MarchMarch,0,0.0,0.0,0.5,0.5,0,0,0,60.9,20.69,108.78387520525452
960,2020-03-27,LATAM,Mexico,-,Brand,L,251.25,87.0,0.0,0.0,2.0,0.0,0.0,0.0,MarchMarch,0,0.0,0.0,0.5,0.5,0,0,0,60.9,20.69,85.35899014778326
961,2020-03-28,LATAM,Mexico,-,Brand,L,54.36999999999999,4.0,0.0,0.0,2.0,2.0,0.0,0.0,MarchMarch,0,0.0,0.0,0.5,0.5,1,0,0,60.9,20.69,18.471515599343185
962,2020-03-29,LATAM,Mexico,-,Brand,L,39.58,1.0,0.0,0.0,1.0,1.0,0.0,0.0,March,0,0.0,0.0,0.5,0.5,1,0,0,60.9,20.69,13.446801313628901
963,2020-03-30,LATAM,Mexico,-,Brand,L,363.68999999999994,69.0,0.0,0.0,2.0,0.0,0.0,0.0,MarchMarch,0,0.0,0.0,0.5,0.5,0,0,0,60.9,20.69,123.55904926108374
964,2020-03-31,LATAM,Mexico,-,Brand,L,394.38,61.0,0.0,0.0,1.0,0.0,0.0,0.0,March,0,0.0,0.0,0.5,0.5,0,0,0,60.9,20.69,133.98558620689656
965,2020-04-01,LATAM,Mexico,-,Brand,L,369.89,86.0,0.0,0.0,2.0,0.0,0.0,0.0,AprilApril,0,0.0,0.0,0.5,0.5,0,0,0,60.9,20.69,125.66542036124795
966,2020-04-02,LATAM,Mexico,-,Brand,L,408.49999999999994,74.0,0.0,0.0,2.0,0.0,0.0,0.0,AprilApril,0,0.0,0.0,0.5,0.5,0,0,0,60.9,20.69,138.78267651888342
967,2020-04-03,LATAM,Mexico,-,Brand,L,333.48,94.0,0.0,0.0,2.0,0.0,0.0,0.0,AprilApril,0,0.0,0.0,0.5,0.5,0,0,0,60.9,20.69,113.29558620689656
968,2020-04-04,LATAM,Mexico,-,Brand,L,93.27999999999999,6.0,0.0,0.0,2.0,2.0,0.0,0.0,AprilApril,0,0.0,0.0,0.5,0.5,1,0,0,60.9,20.69,31.690692939244663
969,2020-04-05,LATAM,Mexico,-,Brand,L,46.90999999999999,0.0,0.0,0.0,2.0,2.0,0.0,0.0,AprilApril,0,0.0,0.0,0.5,0.5,1,0,0,60.9,20.69,15.937075533661739
