,ds,market,new_confirmed
664,2020-02-21,Turkey,0
665,2020-02-21,Switzerland,0
666,2020-02-21,Sweden,0
667,2020-02-21,Spain,2
668,2020-02-21,Poland,0
669,2020-02-21,Italy,14
670,2020-02-21,Ireland,0
671,2020-02-21,Germany,0
672,2020-02-21,France,0
673,2020-02-21,Belgium,0
674,2020-02-21,Austria,0
675,2020-02-21,Netherlands,0
676,2020-02-22,UK,0
677,2020-02-22,Turkey,0
678,2020-02-22,Switzerland,1
679,2020-02-22,Sweden,0
680,2020-02-22,Spain,2
681,2020-02-22,Poland,0
682,2020-02-22,Netherlands,0
683,2020-02-22,Ireland,0
684,2020-02-22,Germany,0
685,2020-02-22,France,0
686,2020-02-22,Belgium,0
687,2020-02-22,Austria,0
688,2020-02-22,Italy,62
689,2020-02-23,UK,25
690,2020-02-23,Turkey,0
691,2020-02-23,Switzerland,0
692,2020-02-23,Sweden,0
693,2020-02-23,Spain,4
694,2020-02-23,Poland,0
695,2020-02-23,Netherlands,0
696,2020-02-23,Ireland,0
697,2020-02-23,Austria,0
698,2020-02-23,Belgium,0
699,2020-02-23,Italy,53
700,2020-02-23,Germany,1
701,2020-02-23,France,0
702,2020-02-24,UK,9
703,2020-02-24,Turkey,0
704,2020-02-24,Switzerland,2
705,2020-02-24,Sweden,0
706,2020-02-24,Spain,4
707,2020-02-24,Netherlands,0
708,2020-02-24,Poland,0
709,2020-02-24,Ireland,0
710,2020-02-24,Germany,5
711,2020-02-24,France,2
712,2020-02-24,Belgium,0
713,2020-02-24,Austria,1
714,2020-02-24,Italy,442
715,2020-02-25,UK,11
716,2020-02-25,Turkey,0
717,2020-02-25,Switzerland,2
718,2020-02-25,Sweden,0
719,2020-02-25,Poland,0
720,2020-02-25,Spain,4
721,2020-02-25,Netherlands,0
722,2020-02-25,Ireland,0
723,2020-02-25,Germany,14
724,2020-02-25,France,3
725,2020-02-25,Belgium,0
726,2020-02-25,Austria,0
727,2020-02-25,Italy,497
728,2020-02-26,UK,7
729,2020-02-26,Turkey,0
730,2020-02-26,Switzerland,20
731,2020-02-26,Sweden,2
732,2020-02-26,Spain,14
733,2020-02-26,Poland,0
734,2020-02-26,Italy,214
735,2020-02-26,Ireland,0
736,2020-02-26,Germany,38
737,2020-02-26,France,21
738,2020-02-26,Belgium,0
739,2020-02-26,Austria,3
740,2020-02-26,Netherlands,1
741,2020-02-27,UK,28
742,2020-02-27,Turkey,0
743,2020-02-27,Switzerland,20
744,2020-02-27,Sweden,2
745,2020-02-27,Spain,52
746,2020-02-27,Poland,0
747,2020-02-27,Netherlands,0
748,2020-02-27,Ireland,0
749,2020-02-27,Austria,6
750,2020-02-27,Belgium,0
751,2020-02-27,Italy,752
752,2020-02-27,Germany,92
753,2020-02-27,France,19
754,2020-02-28,UK,39
755,2020-02-28,Turkey,0
756,2020-02-28,Switzerland,20
757,2020-02-28,Sweden,16
758,2020-02-28,Poland,0
759,2020-02-28,Spain,48
760,2020-02-28,Ireland,1
761,2020-02-28,Germany,117
